"","SL","width","depth","mass"
"1",9.919,1.0286,2.3044,0.014
"2",13.6863333333333,1.1794,2.5879,0.0305
"3",18.2186666666667,1.5718,3.7111,0.079
"4",20.9283333333333,1.8078,4.0519,0.1226
"5",21.591,1.8788,4.1973,0.1613
"6",22.733,2.2492,4.2842,0.149
"7",23.7656666666667,1.9526,4.916,0.162
"8",24.8093333333333,2.3411,4.8036,0.2018
"9",25.209,2.5297,4.8792,0.208
"10",26.264,2.428,4.8673,0.2648
"11",27.1073333333333,2.2519,5.1208,0.2997
"12",28.006,2.3692,5.1059,0.309
"13",29.362,2.638,5.2619,0.4074
"14",29.7546666666667,2.7252,5.1716,0.3929
"15",30.0705,2.8901,5.3534,0.417646856190584
"16",30.92,2.8122,5.7514,0.44648444333271
"17",31.584,2.8327,6.1604,0.482
"18",32.691,3.1295,5.872,0.528
"19",33.3786666666667,3.1203,6.2787,0.5902
"20",35.143,2.859,6.7157,0.6826
"21",35.85,3.1818,6.4469,0.745
"22",36.935,3.3905,6.8965,0.733
"23",37.9003333333333,3.1925,7.2841,0.852
"24",39.2783333333333,3.5972,7.1453,1.14
"25",39.516,3.8262,7.5345,1.016
"26",42.238,4.106,8.2317,1.1695
"27",44.0436666666667,3.6936,7.8709,1.82
"28",50.2573333333333,4.6829,10.0932,1.913
"29",55.9026666666667,5.3475,11.0007,2.825
"30",47,4.24799296104738,8.63813391791926,1.7129466339091
